word1-translated	word2-translated	conc(w2)
قتل کرو	دفاع کرو	2.31
غائب ہو	سکڑیں	3.55
فراہم کرو	لے لو	4.04
سانس لینے	گلا گھونٹنا	3.97
تسلیم کرتے ہیں	مطلع	3.04
بن	لگتا ہے	1.75
دکھاؤ	لگتا ہے	1.75
پورا	بن	1.54
خیال رکھنا	سوچنا	2.41
تعین کریں	پیش گوئی	2.0
براہ کرم	تفریح	2.55
رہیں	برقرار رکھو	2.32
دکھاؤ	بیان کیا	2.18
بھول جاؤ	برقرار رکھو	2.32
چاہتے ہیں	منتخب کریں	2.62
کھو	حاصل کرو	2.38
کوشش کریں	سوچنا	2.41
بن	ظاہر	3.13
چھوڑ دو	نظر انداز	2.22
قبول کرو	تجویز کرو	1.74
چھوڑ دو	گھومنا	2.28
رکھو	دے دو	2.83
دے دو	اجازت دیں	2.41
لانے	بھیجیں	2.7
جذب	سیکھنا	2.2
حاصل	مل	2.63
چھوڑ دو	ظاہر	3.13
بنانا	تباہ	3.08
شروع کرو	جاؤ	3.15
حاصل کرو	خریدنے	3.35
جمع	بچاؤ	2.42
تبدیل کریں	بحال کریں	2.79
شامل ہونا	شامل کریں	3.0
شامل ہونا	شادی کرو	3.03
قبول کرو	فراہم کرو	3.12
منسلک کریں	شامل ہونا	2.86
ڈالیں	پھانسی	3.7
جاؤ	فروخت	3.35
بات چیت	دعا کرو	3.21
دے دو	چوری	3.84
شامل کریں	تعمیر کرو	3.71
لانے	بحال کریں	2.79
سمجھو	مطمئن	2.04
بیان کیا	فیصلہ کرنا	1.92
منظم	بن	1.54
دے دو	پتہ	1.68
کہہ دو	تصدیق کریں	2.1
تعاون کریں	شامل ہونا	2.86
بندوبست کریں	ضرورت ہے	2.07
قرض لے	چاہتے ہیں	1.93
تحقیقات	پیچھا کرنا	2.83
نظر انداز	تلاش کریں	2.9
لانے	شکایت	2.6
درج کریں	الوداع	2.07
بیان کیا	مطلع	3.04
یاد رکھیں	فروخت	3.35
جذب	مالک	2.6
شامل ہونا	حاصل	2.93
بھیجیں	حاضری	3.17
جمع	حاضری	3.17
جذب	واپس لے لو	3.04
حاضری	آو	3.22
