word1-translated	word2-translated	conc(w1)
قتل کرو	دفاع کرو	3.9
غائب ہو	سکڑیں	2.86
فراہم کرو	لے لو	3.12
سانس لینے	گلا گھونٹنا	4.07
تسلیم کرتے ہیں	مطلع	2.03
بن	لگتا ہے	1.54
دکھاؤ	لگتا ہے	2.11
پورا	بن	2.33
خیال رکھنا	سوچنا	1.71
تعین کریں	پیش گوئی	2.13
براہ کرم	تفریح	1.64
رہیں	برقرار رکھو	1.96
دکھاؤ	بیان کیا	2.11
بھول جاؤ	برقرار رکھو	2.04
چاہتے ہیں	منتخب کریں	1.93
کھو	حاصل کرو	2.25
کوشش کریں	سوچنا	2.22
بن	ظاہر	1.54
چھوڑ دو	نظر انداز	2.53
قبول کرو	تجویز کرو	3.03
چھوڑ دو	گھومنا	2.53
رکھو	دے دو	2.37
دے دو	اجازت دیں	2.83
لانے	بھیجیں	2.55
جذب	سیکھنا	3.11
حاصل	مل	2.93
چھوڑ دو	ظاہر	2.53
بنانا	تباہ	2.62
شروع کرو	جاؤ	2.56
حاصل کرو	خریدنے	2.38
جمع	بچاؤ	3.34
تبدیل کریں	بحال کریں	3.0
شامل ہونا	شامل کریں	2.86
شامل ہونا	شادی کرو	2.86
قبول کرو	فراہم کرو	3.03
منسلک کریں	شامل ہونا	3.33
ڈالیں	پھانسی	2.5
جاؤ	فروخت	3.15
بات چیت	دعا کرو	3.43
دے دو	چوری	2.83
شامل کریں	تعمیر کرو	3.0
لانے	بحال کریں	2.55
سمجھو	مطمئن	1.86
بیان کیا	فیصلہ کرنا	2.18
منظم	بن	2.72
دے دو	پتہ	2.83
کہہ دو	تصدیق کریں	2.58
تعاون کریں	شامل ہونا	1.87
بندوبست کریں	ضرورت ہے	2.79
قرض لے	چاہتے ہیں	3.1
تحقیقات	پیچھا کرنا	2.27
نظر انداز	تلاش کریں	2.22
لانے	شکایت	2.55
درج کریں	الوداع	3.12
بیان کیا	مطلع	2.18
یاد رکھیں	فروخت	2.19
جذب	مالک	3.11
شامل ہونا	حاصل	2.86
بھیجیں	حاضری	2.7
جمع	حاضری	2.75
جذب	واپس لے لو	3.11
حاضری	آو	3.17
