word1-translated	word2-translated	SD(SimLex)
قتل کرو	دفاع کرو	0.85
غائب ہو	سکڑیں	1.0
فراہم کرو	لے لو	1.44
سانس لینے	گلا گھونٹنا	2.02
تسلیم کرتے ہیں	مطلع	0.62
بن	لگتا ہے	1.79
دکھاؤ	لگتا ہے	1.63
پورا	بن	0.85
خیال رکھنا	سوچنا	1.59
تعین کریں	پیش گوئی	1.37
براہ کرم	تفریح	0.71
رہیں	برقرار رکھو	1.12
دکھاؤ	بیان کیا	1.64
بھول جاؤ	برقرار رکھو	1.68
چاہتے ہیں	منتخب کریں	1.56
کھو	حاصل کرو	1.33
کوشش کریں	سوچنا	1.45
بن	ظاہر	1.51
چھوڑ دو	نظر انداز	1.33
قبول کرو	تجویز کرو	1.01
چھوڑ دو	گھومنا	1.33
رکھو	دے دو	1.03
دے دو	اجازت دیں	1.32
لانے	بھیجیں	0.88
جذب	سیکھنا	1.16
حاصل	مل	1.74
چھوڑ دو	ظاہر	1.45
بنانا	تباہ	1.1
شروع کرو	جاؤ	1.24
حاصل کرو	خریدنے	1.02
جمع	بچاؤ	0.44
تبدیل کریں	بحال کریں	1.08
شامل ہونا	شامل کریں	0.88
شامل ہونا	شادی کرو	1.41
قبول کرو	فراہم کرو	1.37
منسلک کریں	شامل ہونا	0.94
ڈالیں	پھانسی	1.49
جاؤ	فروخت	0.9
بات چیت	دعا کرو	1.38
دے دو	چوری	0.62
شامل کریں	تعمیر کرو	1.1
لانے	بحال کریں	0.74
سمجھو	مطمئن	1.0
بیان کیا	فیصلہ کرنا	1.37
منظم	بن	1.86
دے دو	پتہ	1.12
کہہ دو	تصدیق کریں	0.65
تعاون کریں	شامل ہونا	0.36
بندوبست کریں	ضرورت ہے	1.72
قرض لے	چاہتے ہیں	1.22
تحقیقات	پیچھا کرنا	0.56
نظر انداز	تلاش کریں	1.19
لانے	شکایت	1.57
درج کریں	الوداع	1.67
بیان کیا	مطلع	1.17
یاد رکھیں	فروخت	1.61
جذب	مالک	1.15
شامل ہونا	حاصل	0.99
بھیجیں	حاضری	1.44
جمع	حاضری	1.97
جذب	واپس لے لو	1.75
حاضری	آو	1.18
